gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000185507					 3.675e-50	 1.199e+00					 3.830e-47	 1.073e+00
ENSG00000140511											 6.376e-85	-1.851e+00
ENSG00000204311									 1.216e-22	-1.435e+00		
ENSG00000160888									1.590e-204	 1.072e+00		
ENSG00000143333					 7.304e-12	 1.382e+00					 5.168e-13	 1.264e+00
ENSG00000185361					 5.841e-91	-1.567e+00					2.212e-133	-2.039e+00
ENSG00000143179									3.697e-207	 1.211e+00		
ENSG00000010610											 2.599e-24	-1.320e+00
ENSG00000151881			 3.853e-37	 1.150e+00	 1.308e-60	 1.050e+00			 2.395e-83	 1.199e+00	 4.464e-57	 1.141e+00
ENSG00000136630									1.667e-128	-1.003e+00		
ENSG00000167992	 2.383e-49	-2.039e+00	 1.743e-87	-1.647e+00			 2.532e-24	-1.370e+00	2.446e-177	-2.446e+00		
ENSG00000118496					6.958e-196	 1.508e+00					1.358e-196	 1.535e+00
ENSG00000150527					 7.716e-19	 1.051e+00					 7.217e-38	 1.423e+00
ENSG00000122696					 5.149e-55	 1.008e+00					 2.540e-68	 1.110e+00
ENSG00000035681					2.681e-165	 1.420e+00					5.615e-201	 1.596e+00
ENSG00000226415					 1.436e-05	-1.289e+00						
ENSG00000166896											 4.892e-05	-1.245e+00
ENSG00000248508											 4.117e-24	 1.115e+00
ENSG00000183386											 9.065e-93	-1.225e+00
ENSG00000186603	 1.510e-14	 1.210e+00									 5.331e-09	-2.840e+00
ENSG00000164904					 1.853e-61	-1.018e+00					1.406e-143	-1.567e+00
ENSG00000007944	 1.235e-47	-1.070e+00	 4.729e-54	-1.299e+00					 1.937e-79	-1.470e+00		
ENSG00000077092					 8.792e-08	-1.007e+00					 5.049e-14	-1.074e+00
ENSG00000240694											 7.749e-65	-1.199e+00
ENSG00000174899					 2.518e-17	 1.051e+00						
ENSG00000118217					2.871e-108	 1.119e+00					3.352e-223	 1.524e+00
ENSG00000047932					6.632e-100	 1.094e+00						
ENSG00000128262	 1.244e-21	-1.335e+00			 2.209e-90	-1.824e+00					 4.150e-76	-1.569e+00
ENSG00000204334					 3.634e-18	 3.695e+00					 1.128e-24	 3.931e+00
ENSG00000112096									 1.746e-36	 1.001e+00		
ENSG00000273314											 2.554e-08	-1.050e+00
ENSG00000148680	 2.542e-23	-1.165e+00									 1.764e-13	-1.082e+00
ENSG00000239467			 1.649e-06	 5.897e+00	 2.415e-91	 3.746e+00			 7.472e-09	 6.236e+00	 5.065e-46	 3.367e+00
ENSG00000167202											1.983e-244	-1.519e+00
ENSG00000180917					5.039e-100	 1.131e+00					1.193e-143	 1.353e+00
ENSG00000164619	 2.973e-50	-1.689e+00	7.498e-197	-2.422e+00	5.129e-220	-3.379e+00			4.727e-140	-1.712e+00	1.203e-227	-3.497e+00
ENSG00000187601											 5.353e-52	-1.432e+00
ENSG00000143127											 4.618e-88	 1.146e+00
ENSG00000161395											 1.058e-53	-1.074e+00
ENSG00000172156					 5.268e-17	 1.599e+00	 1.216e-08	 4.231e+00	 2.012e-45	 3.806e+00	2.926e-111	 3.210e+00
ENSG00000196123									5.475e-212	-1.297e+00	 1.539e-73	-1.037e+00
ENSG00000184481									 9.979e-53	-1.091e+00		
ENSG00000259146					 1.961e-12	 1.514e+00			 2.889e-33	 2.388e+00	 3.194e-41	 2.421e+00
