gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	TGFb_and_JQ1_t24_FDR	TGFb_and_JQ1_t24_logFC	TGFb_and_JQ1_t48_FDR	TGFb_and_JQ1_t48_logFC	TGFb_and_JQ1_t72_FDR	TGFb_and_JQ1_t72_logFC
ENSG00000170396			 3.732e-12	-1.091e+00	 3.500e-26	 1.253e+00			 2.924e-22	-1.3202105		
ENSG00000134057					 2.815e-90	-2.450e+00	1.307e-143	-1.329e+00	4.815e-163	 1.5406881		
ENSG00000149564					 3.593e-37	-1.807e+00	 4.515e-41	 1.067e+00	2.814e-157	 1.9012210		
ENSG00000281195	 6.427e-06	-1.165e+00									 1.101e-06	 1.0113540
ENSG00000105778					5.963e-175	 1.303e+00						
ENSG00000076706	 4.450e-76	 1.115e+00			 1.472e-55	-1.821e+00						
ENSG00000167600	 8.874e-76	-1.280e+00			 1.674e-61	-2.165e+00			5.342e-115	 1.7198959		
ENSG00000203497					 5.657e-06	-1.193e+00	 2.249e-08	-1.323e+00	 1.256e-25	-1.7483655		
ENSG00000177602					 1.645e-09	-1.983e+00						
ENSG00000153162	 2.362e-60	-1.369e+00	 3.448e-47	-1.536e+00	 5.720e-71	-2.148e+00					 1.776e-27	 1.0923405
ENSG00000119922	 5.468e-27	-1.295e+00			 2.977e-92	 1.419e+00	 7.310e-47	-1.919e+00				
ENSG00000239521			 3.003e-50	-1.218e+00	 1.430e-33	-1.202e+00						
ENSG00000138675					 1.351e-35	-1.383e+00						
ENSG00000137825			 3.200e-22	 1.742e+00	 1.258e-77	 1.676e+00					 2.636e-46	-2.4251251
ENSG00000122877			 2.683e-62	 3.126e+00	2.221e-247	 4.500e+00			 4.356e-07	-1.5859770		
ENSG00000196154			 4.273e-11	-1.153e+00	 4.350e-29	-2.654e+00						
ENSG00000237781	 3.486e-22	-1.463e+00			 7.171e-15	-1.044e+00						
ENSG00000102038					 3.416e-94	-1.066e+00						
ENSG00000250474					 4.196e-06	 1.200e+00	 4.015e-11	 1.349e+00				
ENSG00000124216	 3.794e-76	 1.344e+00			 2.347e-93	-1.371e+00						
ENSG00000167487					 4.704e-51	 1.054e+00						
ENSG00000204228					 1.441e-10	-1.108e+00						
ENSG00000127824	 9.744e-17	-1.103e+00	 2.638e-08	-1.264e+00	 2.613e-16	-1.635e+00						
ENSG00000171150					4.948e-105	-1.103e+00						
ENSG00000136603	 1.021e-62	 1.060e+00	3.315e-124	 1.436e+00	3.606e-108	 1.292e+00						
ENSG00000131188					 1.241e-37	-1.822e+00						
ENSG00000129219					 9.900e-95	-1.244e+00						
ENSG00000101384	1.215e-170	-1.341e+00	3.573e-187	-1.392e+00	1.900e-106	-1.225e+00						
ENSG00000151150			 0.000e+00	-1.655e+00	 0.000e+00	-3.045e+00	 0.000e+00	-2.883e+00			 4.665e-50	 1.4827716
ENSG00000137809	 1.073e-61	-2.048e+00	 2.350e-87	 1.154e+00	1.142e-216	 2.146e+00	 1.461e-47	-1.615e+00				
ENSG00000156011					5.701e-112	 1.106e+00						
ENSG00000130164					4.831e-219	-1.579e+00						
ENSG00000175063					 3.919e-43	-3.385e+00			 1.361e-54	 1.4729321		
ENSG00000168078					 1.527e-31	-3.460e+00	 5.459e-76	-1.392e+00	 2.755e-24	 1.2279726		
ENSG00000235636			 3.138e-06	 1.027e+00	 2.360e-15	 1.255e+00						
ENSG00000137574					 4.810e-92	 1.163e+00						
ENSG00000196072					3.595e-109	 1.191e+00						
ENSG00000123374					 3.763e-36	-1.059e+00						
ENSG00000101911					 1.998e-86	-1.349e+00						
ENSG00000166313			 1.928e-74	-1.070e+00								
ENSG00000182584					 9.648e-10	-1.199e+00	 7.279e-20	 1.269e+00				
ENSG00000143067					1.191e-121	 1.185e+00						
ENSG00000276043					 1.155e-18	-1.573e+00						
ENSG00000262601					 3.740e-16	-1.442e+00						
ENSG00000161888					 5.804e-61	-4.142e+00						
ENSG00000113407			1.082e-224	 1.318e+00	 9.297e-88	 1.008e+00					 1.247e-49	-1.0991241
ENSG00000172432			1.471e-185	 1.307e+00							 1.132e-58	-1.4673104
ENSG00000100889			 0.000e+00	 3.284e+00							1.588e-172	-2.7857317
ENSG00000204314					 4.191e-12	-1.092e+00	 1.010e-68	-2.302e+00				
ENSG00000277548					 1.477e-06	 1.904e+00						
ENSG00000214402	 5.033e-09	-2.507e+00	 1.256e-80	-1.690e+00	 3.103e-77	-1.926e+00	 1.668e-05	-2.062e+00	 0.000e+00	-4.0462349		
ENSG00000184635					 4.132e-14	-1.403e+00						
ENSG00000183287			 0.000e+00	-1.989e+00	2.619e-298	-2.346e+00	4.663e-222	-1.640e+00	4.116e-315	-1.9731172		
ENSG00000079150					 5.658e-46	-1.099e+00						
ENSG00000153246					9.288e-190	-1.608e+00	 1.749e-32	-1.102e+00	1.049e-124	-1.4096967		
ENSG00000068489					 5.511e-53	-2.278e+00	1.987e-158	-1.495e+00	 1.636e-78	 1.2364741		
ENSG00000186638					 2.895e-07	-1.017e+00						
ENSG00000141682			 4.686e-83	 1.396e+00	3.756e-151	 1.676e+00					 1.856e-21	-1.0598915
ENSG00000243176					 3.610e-31	 2.856e+00						
ENSG00000139269			5.649e-117	 6.947e+00	 1.524e-37	 1.742e+00	 2.509e-06	-5.893e+00			 1.165e-38	-7.0898880
ENSG00000090020					 0.000e+00	 2.029e+00						
ENSG00000174564			 1.419e-66	 2.474e+00	3.740e-144	 1.914e+00					 2.816e-45	-2.3656802
ENSG00000240602			 1.274e-06	-1.607e+00	 8.102e-12	-4.578e+00					 1.007e-05	 1.3218806
ENSG00000115163					 1.090e-08	-1.467e+00			 3.608e-30	 1.4950626		
ENSG00000271011					 4.073e-05	 1.233e+00						
ENSG00000179222					4.633e-271	-1.891e+00						
ENSG00000077152					 1.967e-07	-1.053e+00						
ENSG00000105516	 7.429e-23	-1.391e+00			 7.410e-17	-1.285e+00	 9.867e-51	-2.856e+00	7.897e-104	-1.9201819		
ENSG00000010278			 5.700e-64	-1.409e+00	3.002e-146	-2.865e+00						
ENSG00000261270			 1.025e-05	 1.251e+00								
ENSG00000165490					 3.827e-09	-1.955e+00			 5.566e-17	 1.3757127		
ENSG00000173207					 1.913e-22	-1.048e+00			 4.503e-62	 1.1870149		
ENSG00000153291	 5.655e-14	-1.200e+00	 1.225e-33	-1.023e+00								
ENSG00000005189					 2.843e-25	-1.914e+00						
ENSG00000113319					1.117e-225	 3.588e+00						
ENSG00000140280					 5.264e-17	-1.100e+00	 4.807e-30	-1.080e+00				
ENSG00000170293					 2.338e-12	-2.094e+00						
ENSG00000124225	 1.609e-87	 2.413e+00	 6.821e-54	 2.232e+00	 3.961e-34	 1.553e+00	 1.084e-52	 1.849e+00				
ENSG00000177363	 5.944e-07	-1.710e+00			4.799e-142	 1.967e+00			 8.265e-53	-3.4751055	 4.209e-96	-3.9740609
ENSG00000051108			6.216e-183	 1.306e+00	 7.560e-79	 1.094e+00						
ENSG00000006606			 2.373e-06	-1.521e+00	 2.013e-08	-2.121e+00	 8.468e-08	-1.095e+00				
ENSG00000172572					 1.960e-51	-1.222e+00	 7.924e-73	-1.080e+00				
ENSG00000254910					 6.914e-12	-2.368e+00	 1.409e-18	-2.348e+00	 4.861e-09	-1.6200497		
ENSG00000237886					 1.328e-12	-1.664e+00	 4.161e-10	-1.047e+00				
ENSG00000111981			3.231e-131	 2.836e+00	4.312e-272	 2.304e+00	 8.120e-60	 1.824e+00	 2.116e-74	 2.0156646		
ENSG00000277759					 2.751e-05	-3.922e+00						
ENSG00000142910			 2.386e-68	-2.364e+00	1.209e-250	-4.457e+00						
ENSG00000042062	 1.570e-52	-3.674e+00	4.710e-105	-2.243e+00	4.112e-182	-2.270e+00	 2.225e-66	-5.310e+00	 0.000e+00	-3.7509355		
ENSG00000147912					5.909e-104	 1.474e+00						
ENSG00000020426					 6.225e-42	 1.218e+00						
ENSG00000128272			1.923e-218	 1.326e+00								
ENSG00000230479	 6.940e-43	 2.702e+00	 2.599e-40	 4.071e+00	 7.834e-10	 1.932e+00						
ENSG00000270061	 4.703e-07	-1.218e+00										
ENSG00000154553			9.338e-145	 1.396e+00	 5.956e-23	 1.252e+00					 2.045e-19	-1.3559807
ENSG00000069702	 2.037e-50	-1.153e+00	6.878e-229	-1.815e+00	 1.993e-59	-1.710e+00					 8.045e-33	 1.3028079
ENSG00000106268					 1.079e-24	-1.164e+00						
ENSG00000129757	 2.123e-27	-1.227e+00	1.292e-266	-1.657e+00	7.448e-178	-3.225e+00	 1.974e-54	-1.850e+00	 4.408e-84	-1.3505997		
ENSG00000178531					 7.272e-07	-1.109e+00						
ENSG00000121104					 2.604e-55	-1.851e+00						
ENSG00000198721					 4.424e-77	-1.090e+00						
ENSG00000092969					4.710e-275	 1.971e+00						
ENSG00000260916					2.745e-226	 1.551e+00						
ENSG00000224536			 9.374e-05	 1.792e+00								
ENSG00000185813					1.900e-106	-1.404e+00						
ENSG00000138180					 1.614e-37	-3.136e+00			 1.670e-68	 1.6964007		
ENSG00000278000					 5.108e-14	 2.500e+00						
ENSG00000144468					 7.975e-80	 1.027e+00						
ENSG00000182199			 0.000e+00	 1.732e+00							 1.925e-55	-1.3326196
ENSG00000214654					 8.280e-17	 1.188e+00						
ENSG00000178752			 2.931e-11	 1.405e+00							 2.345e-30	-2.2937018
ENSG00000255284					 5.285e-25	-1.234e+00						
ENSG00000197183					 3.240e-98	-1.515e+00						
